Paper Title,Year,Full Paper or WIP?,Session Name,"Context: MOOCs, In-person degrees, Online degrees, K-12, Informal learning environments, Other (specify in 1-2 words in Context Notes)",Context Notes,"Subject: CS, Non-CS STEM, Non-STEM (specify in 1-2 words in Subject Notes), Unspecified",Subject Notes,"AI/ML Applications in Education? (Enter ""Y"" or ""N"")",Similarity Score,Matched Title
BookBuddy: Turning Digital Materials Into Interactive Foreign Language Lessons Through a Voice Chatbot,2019,WIP,,,,,,,89,Bookbuddy: Turning digital materials into interactive foreign language lessons through a voice chatbot
Creating a Framework for User-Centered Development and Improvement of Digital Education,2019,WIP,,,,,,,92,Creating a framework for user-centered development and improvement of digital education
Leveraging Skill Hierarchy for Multi-Level Modeling with Elo Rating System,2019,WIP,,,,,,,88,Leveraging skill hierarchy for multi-level modeling with ELO rating system
Student Code Trajectories in an Introductory Programming MOOC,2019,WIP,,,,,,,93,Student code trajectories in an introductory programming MOOC
Predicting the difficulty of automatic item generators on exams from their difficulty on homeworks,2019,WIP,,,,,,,100,Predicting the difficulty of automatic item generators on exams from their difficulty on homeworks
Pilot Study to Estimate “Difficult” Area in e-Learning Material by Physiological Measurements,2019,WIP,,,,,,,91,Pilot study to estimate “difficult” area in e-learning material by physiological measurements
Semantic Matching Evaluation of User Responses to Electronics Questions in AutoTutor,2019,WIP,,,,,,,90,Semantic matching evaluation of user responses to electronics questions in autotutor
Proposal and Implementation of an Elderly-oriented User Interface for Learning Support Systems,2019,WIP,,,,,,,93,Proposal and implementation of an elderly-oriented user interface for learning support systems
Implementing Learning Analytics to Foster a STEM Learning Ecosystem at the City-Level: Emerging Research and Design Challenges,2019,WIP,,,,,,,89,Implementing learning analytics to foster a stem learning ecosystem at the city-level: Emerging research and design challenges
On the Influence of Grades on Learning Behavior of Students in MOOCs,2019,WIP,,,,,,,93,On the influence of grades on learning behavior of students in MOOCs
Synchronous at Scale: Investigation and Implementation of a Semi-Synchronous Online Lecture Platform,2019,WIP,,,,,,,93,Synchronous at scale: Investigation and implementation of a semi-synchronous online lecture platform
Impact of Free-Certificate Coupons on Learner Behavior in Online Courses: Results from Two Case Studies,2019,WIP,,,,,,,90,Impact of free-certificate coupons on learner behavior in online courses: Results from two case studies
Guided-KNOWLA: The Use of Guided Unscrambling to Enhance Active Online Learning,2019,WIP,,,,,,,85,Guided-Knowla: The use of guided unscrambling to enhance active online learning
An Automated Feedback System to Support Student Learning in Writing-to-Learn Activities,2019,WIP,,,,,,,90,An automated feedback system to support student learning in writing-to-learn activities
automaTA: Human-Machine Interaction for Answering Context-Specific Questions,2019,WIP,,,,,,,88,Automata: Human-machine interaction for answering context-specific questions
What do students at distance universities think about AI?,2019,WIP,,,,,,,100,What do students at distance universities think about AI?
Peer Advising at Scale: Content and Context of a LearnerOwned Course Evaluation System,2019,WIP,,,,,,,90,Peer advising at scale: Content and context of a learner-owned course evaluation system
Towards Improving Students’ Forum Posts Categorization in MOOCs and Impact on Performance Prediction,2019,WIP,,,,,,,92,Towards improving students’ forum posts categorization in MOOCs and impact on performance prediction
PARQR: Augmenting the Piazza Online Forum to Better Support Degree Seeking Online Masters Students,2019,WIP,,,,,,,90,PaRQR: Augmenting the Piazza online forum to better support degree seeking online masters students
Causal Inference in Higher Education: Building Better Curriculums,2019,WIP,,,,,,,92,Causal inference in higher education: Building better curriculums
Investigating Learning Design Categorization and Learning Behaviour in Computational MOOCS,2019,WIP,,,,,,,92,Investigating learning design categorization and learning behaviour in computational MOOCs
LiveDataLab: A Cloud-Based Platform to Facilitate Hands-on Data Science Education at Scale,2019,WIP,,,,,,,88,Livedatalab: A cloud-based platform to facilitate hands-on data science education at scale
Jack Watson: Addressing Contract Cheating at Scale in Online Computer Science Education,2019,WIP,,,,,,,92,Jack Watson: Addressing contract cheating at scale in online computer science education
Developing an Intervention to Advance Learning At Scale,2019,WIP,,,,,,,91,Developing an intervention to advance learning at scale
Web of Slides: Automatic Linking of Lecture Slides to Facilitate Navigation,2019,WIP,,,,,,,92,Web of slides: Automatic linking of lecture slides to facilitate navigation
WOSView Demo: A Tool to Explore the Web of Slides,2019,WIP,,,,,,,86,Wosview Demo: A tool to explore the web of slides
Teaching C Programming Interactively at Scale Using Taskgrader: an Open-source Autograder Tool.,2019,WIP,,,,,,,92,Teaching C programming interactively at scale using taskGrader: An Open-source Autograder Tool
Supporting Instruction of Formulaic Sequences Using Videos at Scale,2019,WIP,,,,,,,91,Supporting instruction of formulaic sequences using videos at scale
Achievements for building a learning community,2019,WIP,,,,,,,100,Achievements for building a learning community
Investigating the Impact of Skill-Related Videos on Online Learning,2023,Full Paper,Assessment @ Scale,,,,,,100,Investigating the Impact of Skill-Related Videos on Online Learning
LENS: Predictive Diagnostics for Flexible and Efficient Assessments,2023,Full Paper,Assessment @ Scale,,,,,,100,LENS: Predictive Diagnostics for Flexible and Efficient Assessments
Crowdsourcing the Evaluation of Multiple-Choice Questions Using Item-Writing Flaws and Bloom’s Taxonomy,2023,Full Paper,Assessment @ Scale,,,,,,99,Crowdsourcing the Evaluation of Multiple-Choice Questions Using Item-Writing Flaws and Bloom's Taxonomy
All A-board: Sharing Educational Data Science Research With School Districts,2023,Full Paper,Fairness and Equity @ Scale,,,,,,99,All A-board: Sharing Educational Data Science Research with School Districts
Assessing the Fairness of Course Success Prediction Models in the Face of (Un)equal Demographic Group Distribution,2023,Full Paper,Fairness and Equity @ Scale,,,,,,100,Assessing the Fairness of Course Success Prediction Models in the Face of (Un)equal Demographic Group Distribution
M-Powering Teachers: Natural Language Processing Powered Feedback Improves 1:1 Instruction and Student Outcomes,2023,Full Paper,Feedback @ Scale,,,,,,100,M-Powering Teachers: Natural Language Processing Powered Feedback Improves 1:1 Instruction and Student Outcomes
How Common are Common Wrong Answers? Crowdsourcing Remediation at Scale,2023,Full Paper,Feedback @ Scale,,,,,,100,How Common are Common Wrong Answers? Crowdsourcing Remediation at Scale
High-Resolution Course Feedback: Timely Feedback Mechanism for Instructors,2023,Full Paper,Feedback @ Scale,,,,,,100,High-Resolution Course Feedback: Timely Feedback Mechanism for Instructors
From Answering for Points to Commenting for Others An Examination of the Posting Behaviors of High-reputation-score Users of Stack Overflow,2023,Full Paper,Informal Learning @ Scale,,,,,,100,From Answering for Points to Commenting for Others: An Examination of the Posting Behaviors of High-reputation-score Users of Stack Overflow
The Relevance of Ivan Illich’s Learning Webs 50 Years On,2023,Full Paper,Informal Learning @ Scale,,,,,,96,The Relevance of Ivan Illich's Learning Webs 50 Years on
Exploring Students’ Perceptions and Engagement in Hybrid Flexible Courses,2023,Full Paper,Instruction @ Scale,,,,,,99,Exploring Students' Perceptions and Engagement in Hybrid Flexible Courses
Managing TAs at Scale: Investigating the Experiences of Teaching Assistants in Introductory Computer Science,2023,Full Paper,Instruction @ Scale,,,,,,100,Managing TAs at Scale: Investigating the Experiences of Teaching Assistants in Introductory Computer Science
"How Learning Experience Designers Make Design Decisions: The Role of Data, the Reliance on Subject Matter Expertise, and the Opportunities for Data-Driven Support",2023,Full Paper,Instruction @ Scale,,,,,,100,"How Learning Experience Designers Make Design Decisions: The Role of Data, the Reliance on Subject Matter Expertise, and the Opportunities for Data-Driven Support"
Teaching at Scale and Back Again,2023,Full Paper,Instruction @ Scale,,,,,,64,Peer-Grading at Scale with Rank Aggregation
How Teachers Influence Student Adoption and Effectiveness of a Recommendation System for Algebra,2023,Full Paper,Instruction @ Scale,,,,,,100,How Teachers Influence Student Adoption and Effectiveness of a Recommendation System for Algebra
Benefit of Gamification for Persistent Learners: Propensity to Replay Problems Moderates Algebra-Game Effectiveness,2023,Full Paper,Instruction @ Scale,,,,,,100,Benefit of Gamification for Persistent Learners: Propensity to Replay Problems Moderates Algebra-Game Effectiveness
How to Open Science: Analyzing the Open Science Statement Compliance of the Learning @ Scale Conference,2023,Full Paper,Open Science @ Scale,,,,,,100,How to Open Science: Analyzing the Open Science Statement Compliance of the Learning @ Scale Conference
Exploring Cross-Country Prediction Model Generalizability in MOOCs,2023,Full Paper,Prediction @ Scale,,,,,,100,Exploring Cross-Country Prediction Model Generalizability in MOOCs
Evaluating a Learned Admission-Prediction Model as a Replacement for Standardized Tests in College Admissions,2023,Full Paper,Prediction @ Scale,,,,,,100,Evaluating a Learned Admission-Prediction Model as a Replacement for Standardized Tests in College Admissions
EliRank: A Code Editing History Based Ranking Model for Early Detection of Students in Need,2023,Full Paper,Prediction @ Scale,,,,,,100,EliRank: A Code Editing History Based Ranking Model for Early Detection of Students in Need
Convincing the Expert: Reducing Algorithm Aversion in Administrative Higher Education Decision-making,2023,Full Paper,Systems and tools @ Scale,,,,,,100,Convincing the Expert: Reducing Algorithm Aversion in Administrative Higher Education Decision-making
GPTeach: Interactive TA Training with GPT-based Students,2023,Full Paper,Systems and tools @ Scale,,,,,,100,GPTeach: Interactive TA Training with GPT-based Students
Supporting Online Collaborative Work at Scale: A Mixed-Methods Study of a Learning Analytics Tool,2023,Full Paper,Systems and tools @ Scale,,,,,,100,Supporting Online Collaborative Work at Scale: A Mixed-Methods Study of a Learning Analytics Tool
A Novel Approach for Knowledge State Representation and Prediction,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,A Novel Approach for Knowledge State Representation and Prediction
A Quantitative Analysis of When Students Choose to Grade Questions on Computerized Exams with Multiple Attempts,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,A Quantitative Analysis of When Students Choose to Grade Questions on Computerized Exams with Multiple Attempts
Adaptive Learning using Finite State Machine Logic,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Adaptive Learning using Finite State Machine Logic
Affordable Degrees at Scale: New Phenomenon or New Hype?  25-35,2020,Full Paper,Session 1,,,,,,94,Affordable Degrees at Scale: New Phenomenon or New Hype?
AlgoPlan: Supporting Planning in Algorithmic Problem-Solving with Subgoal Diagrams,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,AlgoPlan: Supporting Planning in Algorithmic Problem-Solving with Subgoal Diagrams
An Evidence-Based Learner Model for Supporting Activities in Robotics,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,An Evidence-Based Learner Model for Supporting Activities in Robotics
Analysis of Grading Times of Short Answer Questions,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Analysis of Grading Times of Short Answer Questions
Analyzing K-12 Blended MOOC Learning Behaviors,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Analyzing K-12 Blended MOOC Learning Behaviors
Analyzing Pre-Existing Knowledge and Performance in a Programming MOOC,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Analyzing Pre-Existing Knowledge and Performance in a Programming MOOC
Artificial Intelligence for Video-based Learning at Scale,2020,Full Paper,Workshops,,,,,,100,Artificial Intelligence for Video-based Learning at Scale
Automated Generation of Learning Paths at Scale,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Automated Generation of Learning Paths at Scale
Automatic RNN Cell Design for Knowledge Tracing using Reinforcement Learning,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Automatic RNN Cell Design for Knowledge Tracing using Reinforcement Learning
BELT: Bluejeans codE Leak deTection,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,BELT: Bluejeans codE Leak deTection
Building an Infrastructure for Computer Science Education Research and Practice at Scale,2020,Full Paper,Workshops,,,,,,100,Building an Infrastructure for Computer Science Education Research and Practice at Scale
Challenges of Online Learning in Nigeria,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Challenges of Online Learning in Nigeria
Characterizing Teacher Connections in Online Social Media: A Case Study on Pinterest,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Characterizing Teacher Connections in Online Social Media: A Case Study on Pinterest
Co-Teaching Computer Science Across Borders: Human-Centric Learning at Scale,2020,Full Paper,Session 3,,,,,,99,Co-Teaching Computer Science across Borders: Human-Centric Learning at Scale
Code Free Chatbot Development: An Easy Way to Jumpstart Your Chatbot!  233-235,2020,Full Paper,Workshops,,,,,,94,Code Free Chatbot Development: An Easy Way to Jumpstart Your Chatbot!
Cold Start Knowledge Tracing with Attentive Neural Turing Machine,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Cold Start Knowledge Tracing with Attentive Neural Turing Machine
Content Type Distribution and Readability of MOOCs,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Content Type Distribution and Readability of MOOCs
Designing Inclusive Learning Environments,2020,Full Paper,Workshops,,,,,,100,Designing Inclusive Learning Environments
Detecting Contract Cheaters in Online Programming Classes with Keystroke Dynamics,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Detecting Contract Cheaters in Online Programming Classes with Keystroke Dynamics
"Developing Digital Clinical Simulations for Large-Scale Settings on Diversity, Equity, and Inclusion: Design Considerations for Effective Implementation at Scale",2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,"Developing Digital Clinical Simulations for Large-Scale Settings on Diversity, Equity, and Inclusion: Design Considerations for Effective Implementation at Scale"
"Differential Assessment, Differential Benefit: Four-year Problem Roulette Analysis of STEM Practice Study",2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,"Differential Assessment, Differential Benefit: Four-year Problem Roulette Analysis of STEM Practice Study"
Effectiveness of Crowd-Sourcing On-Demand Assistance from Teachers in Online Learning Platforms,2020,Full Paper,Session 3,,,,,,100,Effectiveness of Crowd-Sourcing On-Demand Assistance from Teachers in Online Learning Platforms
Evaluating Bayesian Knowledge Tracing for Estimating Learner Proficiency and Guiding Learner Behavior,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Evaluating Bayesian Knowledge Tracing for Estimating Learner Proficiency and Guiding Learner Behavior
Examinator: A Plagiarism Detection Tool for Take-Home Exams,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Examinator: A Plagiarism Detection Tool for Take-Home Exams
Examining Sources of Variation in Student Confusion in College Classes,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Examining Sources of Variation in Student Confusion in College Classes
Explanation Mining,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Explanation Mining
Guidance on How Learning at Scale Can be Made More Accessible,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Guidance on How Learning at Scale Can be Made More Accessible
Have Your Tickets Ready! Impede Free Riding in Large Scale Team Assignments,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Have Your Tickets Ready! Impede Free Riding in Large Scale Team Assignments
Human Languages in Source Code: Auto-Translation for Localized Instruction,2020,Full Paper,Session 5,,,,,,100,Human Languages in Source Code: Auto-Translation for Localized Instruction
Identifying Preparatory Courses that Predict Student Success in Quantitative Subjects,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Identifying Preparatory Courses that Predict Student Success in Quantitative Subjects
Inferring Creativity in Visual Programming Environments,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Inferring Creativity in Visual Programming Environments
Informal Learning Communities: The Other Massive Open Online 'C',2020,Full Paper,Session 3,,,,,,100,Informal Learning Communities: The Other Massive Open Online 'C'
Interpretable Models Do Not Compromise Accuracy or Fairness in Predicting College Success,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Interpretable Models Do Not Compromise Accuracy or Fairness in Predicting College Success
Interpretable Personalized Knowledge Tracing and Next Learning Activity Recommendation,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Interpretable Personalized Knowledge Tracing and Next Learning Activity Recommendation
Introducing Alexa for E-learning,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Introducing Alexa for E-learning
Learnersourcing at Scale to Overcome Expert Blind Spots for Introductory Programming: A Three-Year Deployment Study on the Python Tutor Website,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Learnersourcing at Scale to Overcome Expert Blind Spots for Introductory Programming: A Three-Year Deployment Study on the Python Tutor Website
Learning Analytics Dashboard for Problem-based Learning,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Learning Analytics Dashboard for Problem-based Learning
Learning Engineering @ Scale,2020,Full Paper,Workshops,,,,,,100,Learning Engineering @ Scale
Learning to Cheat: Quantifying Changes in Score Advantage of Unproctored Assessments Over Time,2020,Full Paper,Session 5,,,,,,99,Learning to Cheat: Quantifying Changes in Score Advantage of Unproctored Assessments over Time
Leveraging Book Indexes for Automatic Extraction of Concepts in MOOCs,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Leveraging Book Indexes for Automatic Extraction of Concepts in MOOCs
Locabulary: A Context Sensitive Mixed Reality Flashcard Alternative for Second Language Learning,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Locabulary: A Context Sensitive Mixed Reality Flashcard Alternative for Second Language Learning
Open PISA: Dashboard for Large Educational Dataset,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Open PISA: Dashboard for Large Educational Dataset
PARQR: Automatic Post Suggestion in the Piazza Online Forum to Support Degree Seeking Online Masters Students,2020,Full Paper,Session 3,,,,,,100,PARQR: Automatic Post Suggestion in the Piazza Online Forum to Support Degree Seeking Online Masters Students
Peripheral and Semi-Peripheral Community: A New Design Challenge for Learning at Scale,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Peripheral and Semi-Peripheral Community: A New Design Challenge for Learning at Scale
Pixasso: A Development Stage-Based Learning Application for Children,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Pixasso: A Development Stage-Based Learning Application for Children
Predicting Applicant Admission Status for Georgia Tech's Online Master's in Analytics Program,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Predicting Applicant Admission Status for Georgia Tech's Online Master's in Analytics Program
SAGA: Curricula Optimization,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,SAGA: Curricula Optimization
Sensing Affect to Empower Students: Learner Perspectives on Affect-Sensitive Technology in Large Educational Contexts,2020,Full Paper,Session 2,,,,,,100,Sensing Affect to Empower Students: Learner Perspectives on Affect-Sensitive Technology in Large Educational Contexts
Student Engagement in Mobile Learning via Text Message,2020,Full Paper,Session 4,,,,,,100,Student Engagement in Mobile Learning via Text Message
Students' Achievement of Personalized Learning Objectives in MOOCs,2020,Full Paper,Session 4,,,,,,100,Students' Achievement of Personalized Learning Objectives in MOOCs
Studying Retrieval Practice in an Intelligent Tutoring System,2020,Full Paper,Session 2,,,,,,100,Studying Retrieval Practice in an Intelligent Tutoring System
Supporting Learners' Self-regulation in LMOOCs: What Have We Done and How Far We Can Go?  207-209,2020,Full Paper,Workshops,,,,,,95,Supporting Learners' Self-regulation in LMOOCs: What Have We Done and How Far We Can Go?
The Effect of Informing Agency in Self-Directed Online Learning Environments,2020,Full Paper,Session 2,,,,,,100,The Effect of Informing Agency in Self-Directed Online Learning Environments
The Effectiveness of Multiple-Choice Type Flashcards for the Identification of Fish Species,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,The Effectiveness of Multiple-Choice Type Flashcards for the Identification of Fish Species
"The Role of Self-Regulated Learning in the Design, Implementation, and Evaluation of Learning Analytics Dashboards",2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,"The Role of Self-Regulated Learning in the Design, Implementation, and Evaluation of Learning Analytics Dashboards"
The Synchronicity Paradox in Online Education,2020,Full Paper,Session 1,,,,,,100,The Synchronicity Paradox in Online Education
Toward Learning at Scale in Developing Countries: Lessons from the Global Learning XPRIZE Field Study,2020,Full Paper,Session 5,,,,,,100,Toward Learning at Scale in Developing Countries: Lessons from the Global Learning XPRIZE Field Study
Towards Crowdsourcing the Identification of Knowledge Components,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Towards Crowdsourcing the Identification of Knowledge Components
Towards Scalable Gamified Assessment in Support of Collaborative Problem-Solving Competency Development in Online and Blended Learning,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Towards Scalable Gamified Assessment in Support of Collaborative Problem-Solving Competency Development in Online and Blended Learning
"Towards an Appropriate Query, Key, and Value Computation for Knowledge Tracing",2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,"Towards an Appropriate Query, Key, and Value Computation for Knowledge Tracing"
"Two Stances, Three Genres, and Four Intractable Dilemmas for the Future of Learning at Scale",2020,Full Paper,Session 1,,,,,,100,"Two Stances, Three Genres, and Four Intractable Dilemmas for the Future of Learning at Scale"
Understanding Learner Behavior Through Learning Design Informed Learning Analytics,2020,Full Paper,Session 4,,,,,,99,Understanding Learner Behavior through Learning Design Informed Learning Analytics
Understanding Reading Behaviors of Middle School Students,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Understanding Reading Behaviors of Middle School Students
Understanding Student Experience: A Pathways Model,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Understanding Student Experience: A Pathways Model
Understanding the Implications of the Use of Intelligent Tutoring Systems in Driver Training,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,100,Understanding the Implications of the Use of Intelligent Tutoring Systems in Driver Training
Using Google Search Trends to Estimate Global Patterns in Learning,2020,Full Paper,Session 5,,,,,,100,Using Google Search Trends to Estimate Global Patterns in Learning
"Using Information Visualization to Promote Students' Reflection on ""Gaming the System"" in Online Learning",2020,Full Paper,Session 2,,,,,,99,"Using Information Visualization to Promote Students' Reflection on ""gaming the System"" in Online Learning"
Where's the Learning in Education Crowdsourcing?  305-308,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,91,Where's the Learning in Education Crowdsourcing?
Workshop Proposal: Educational A/B Testing at Scale,2020,Full Paper,Workshops,,,,,,100,Workshop Proposal: Educational A/B Testing at Scale
nQuire: Citizens Acting as Scientists in Massive Open Online Learning,2020,Full Paper,Work-in-Progress/Demonstration Session,,,,,,99,NQuire: Citizens Acting as Scientists in Massive Open Online Learning
A Machine Learning Approach for Suggesting Feedback in Textual Exercises in Large Courses,2021,Full Paper,L@Scale 4: Perspectives from Europe and US,,,,,,100,A Machine Learning Approach for Suggesting Feedback in Textual Exercises in Large Courses
A Novel Framework for Discovering Cognitive Models of Learning,2021,Full Paper,Works-in-Progress,,,,,,100,A Novel Framework for Discovering Cognitive Models of Learning
Analyzing Patterns in Student SQL Solutions via Levenshtein Edit Distance,2021,Full Paper,Works-in-Progress,,,,,,100,Analyzing Patterns in Student SQL Solutions via Levenshtein Edit Distance
Analyzing Student Reflection Sentiments and Problem-Solving Procedures in MOOCs,2021,Full Paper,Works-in-Progress,,,,,,100,Analyzing Student Reflection Sentiments and Problem-Solving Procedures in MOOCs
Applying the Behavior Change Technique Taxonomy from Public Health Interventions to Educational Research,2021,Full Paper,L@Scale 5: Perspectives from US East Coast,,,,,,100,Applying the Behavior Change Technique Taxonomy from Public Health Interventions to Educational Research
Assessing Function Names and Quantifying the Relationship Between Identifiers and Their Functionality to Improve Them,2021,Full Paper,Works-in-Progress,,,,,,99,Assessing Function Names and Quantifying the Relationship between Identifiers and Their Functionality to Improve Them
Automating the Assessment of Problem-solving Practices Using Log Data and Data Mining Techniques,2021,Full Paper,L@Scale 2: Perspectives from US West Coast,,,,,,100,Automating the Assessment of Problem-solving Practices Using Log Data and Data Mining Techniques
Blending Peer Instruction with Just-In-Time Teaching: Jointly Optimal Task Scheduling with Feedback for Classroom Flipping,2021,Full Paper,L@Scale 3: Perspectives from Oceania,,,,,,100,Blending Peer Instruction with Just-In-Time Teaching: Jointly Optimal Task Scheduling with Feedback for Classroom Flipping
Can Feedback based on Predictive Data Improve Learners' Passing Rates in MOOCs? A Preliminary Analysis,2021,Full Paper,Works-in-Progress,,,,,,100,Can Feedback based on Predictive Data Improve Learners' Passing Rates in MOOCs? A Preliminary Analysis
Characterizing Amateur Tutoring Behavior on a Large Online Learning Platform,2021,Full Paper,Works-in-Progress,,,,,,100,Characterizing Amateur Tutoring Behavior on a Large Online Learning Platform
Classification of Discussions in MOOC Forums: An Incremental Modeling Approach,2021,Full Paper,L@Scale 4: Perspectives from Europe and US,,,,,,100,Classification of Discussions in MOOC Forums: An Incremental Modeling Approach
Combining Collaborative Reflection based on Worked-Out Examples with Problem-Solving Practice: Designing Collaborative Programming Projects for Learning at Scale,2021,Full Paper,Works-in-Progress,,,,,,100,Combining Collaborative Reflection based on Worked-Out Examples with Problem-Solving Practice: Designing Collaborative Programming Projects for Learning at Scale
Comparative Analysis of the Feature Extraction Approaches for Predicting Learners Progress in Online Courses: MicroMasters Credential versus Traditional MOOCs,2021,Full Paper,L@Scale 4: Perspectives from Europe and US,,,,,,100,Comparative Analysis of the Feature Extraction Approaches for Predicting Learners Progress in Online Courses: MicroMasters Credential versus Traditional MOOCs
Components of Assessments and Grading At Scale,2021,Full Paper,Works-in-Progress,,,,,,98,Components of Assessments and Grading at Scale
Content-Neutral Immersive Environments for Cultivating Scalable Camaraderie,2021,Full Paper,L@Scale 1: Perspectives from North America,,,,,,100,Content-Neutral Immersive Environments for Cultivating Scalable Camaraderie
Data-informed Decision-making in TEFA Processes: An Empirical Study of a Process Derived from Peer-Instruction,2021,Full Paper,Works-in-Progress,,,,,,100,Data-informed Decision-making in TEFA Processes: An Empirical Study of a Process Derived from Peer-Instruction
"Domain Experts' Interpretations of Assessment Bias in a Scaled, Online Computer Science Curriculum",2021,Full Paper,L@Scale 2: Perspectives from US West Coast,,,,,,100,"Domain Experts' Interpretations of Assessment Bias in a Scaled, Online Computer Science Curriculum"
Employing Peer Review to Evaluate the Quality of Student Generated Content at Scale: A Trust Propagation Approach,2021,Full Paper,L@Scale 3: Perspectives from Oceania,,,,,,100,Employing Peer Review to Evaluate the Quality of Student Generated Content at Scale: A Trust Propagation Approach
Examining the Effects of Student Participation and Performance on the Quality of Learnersourcing Multiple-Choice Questions,2021,Full Paper,L@Scale 5: Perspectives from US East Coast,,,,,,100,Examining the Effects of Student Participation and Performance on the Quality of Learnersourcing Multiple-Choice Questions
Experimental Design of Learning Analysis Dashboards for Teachers and Learners,2021,Full Paper,Works-in-Progress,,,,,,100,Experimental Design of Learning Analysis Dashboards for Teachers and Learners
Exploring Additional Personalized Support While Attempting Exercise Problems in Online Learning Platforms,2021,Full Paper,Works-in-Progress,,,,,,99,Exploring Additional Personalized Support while Attempting Exercise Problems in Online Learning Platforms
Exploring Design Choices in Data-driven Hints for Python Programming Homework,2021,Full Paper,Works-in-Progress,,,,,,100,Exploring Design Choices in Data-driven Hints for Python Programming Homework
Forecasting Undergraduate Majors Using Academic Transcript Data,2021,Full Paper,Works-in-Progress,,,,,,100,Forecasting Undergraduate Majors Using Academic Transcript Data
Generating Response-Specific Elaborated Feedback Using Long-Form Neural Question Answering,2021,Full Paper,L@Scale 1: Perspectives from North America,,,,,,100,Generating Response-Specific Elaborated Feedback Using Long-Form Neural Question Answering
How Online Learners Build Cognitive Presence: Implications from a Machine Learning Approach,2021,Full Paper,Works-in-Progress,,,,,,100,How Online Learners Build Cognitive Presence: Implications from a Machine Learning Approach
Impact of Contextual Tips for Auto-Gradable Programming Exercises in MOOCs,2021,Full Paper,Works-in-Progress,,,,,,100,Impact of Contextual Tips for Auto-Gradable Programming Exercises in MOOCs
Introducing Data Wrangling using Graphical Subgoals - Findings from an e-Learning Study,2021,Full Paper,Works-in-Progress,,,,,,99,Introducing Data Wrangling using Graphical Subgoals-Findings from an e-Learning Study
JackMarker with GitDown: A Framework to Counter Plagiarism at Scale,2021,Full Paper,Works-in-Progress,,,,,,100,JackMarker with GitDown: A Framework to Counter Plagiarism at Scale
Knowledge Sharing in Tension: Interacting and Documenting on Stack Overflow,2021,Full Paper,Works-in-Progress,,,,,,100,Knowledge Sharing in Tension: Interacting and Documenting on Stack Overflow
