,First Author First Name,First Author Last Name,Paper Title,Year,Full Paper or WIP?,Session Name,Authors,Link_x,File Name,DOI,Original File Name,Author(s) ID,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link_y,Document Type,Publication Stage,Open Access,Source,EID,Author 1 First Name,Author 1 Last Name,Author 1 ID,Author 2 First Name,Author 2 Last Name,Author 2 ID,Author 3 First Name,Author 3 Last Name,Author 3 ID,Author 4 First Name,Author 4 Last Name,Author 4 ID,Author 5 First Name,Author 5 Last Name,Author 5 ID,Author 6 First Name,Author 6 Last Name,Author 6 ID,Author 7 First Name,Author 7 Last Name,Author 7 ID,Author 8 First Name,Author 8 Last Name,Author 8 ID,Author 9 First Name,Author 9 Last Name,Author 9 ID,Author 10 First Name,Author 10 Last Name,Author 10 ID,Author 11 First Name,Author 11 Last Name,Author 11 ID,Author 12 First Name,Author 12 Last Name,Author 12 ID,Author 1 Affiliation,Author 1 Country,Author 2 Affiliation,Author 2 Country,Author 3 Affiliation,Author 3 Country,Author 4 Affiliation,Author 4 Country,Author 5 Affiliation,Author 5 Country,Author 6 Affiliation,Author 6 Country,Author 7 Affiliation,Author 7 Country,Author 8 Affiliation,Author 8 Country,Author 9 Affiliation,Author 9 Country,Author 10 Affiliation,Author 10 Country,Author 11 Affiliation,Author 11 Country,Author 12 Affiliation,Author 12 Country
94,Joshua J.,Michalenko,D,2017,WIP,Work in Progress,"Joshua J. Michalenko, Andrew S. Lan, Richard G. Baraniuk",https://dl.acm.org/doi/pdf/10.1145/3051457.3053996,2017_D.pdf,10.1145/3051457.3053996,3051457.3053996.pdf,57194040218; 55967012900; 35580714600,D.TRUMP: Data-mining textual responses to uncover misconception patterns,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,245,248,3.0,6.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018369245&doi=10.1145%2f3051457.3053996&partnerID=40&md5=791271f65af908f0d1fdbaaf8cf1c1cf,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85018369245,Joshua,Michalenko,57194040218,Andrew S.,Lan,55967012900,Richard G.,Baraniuk,35580714600,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandia National Laboratories, New Mexico",United States,University of Massachusetts Amherst,United States,Rice University,United States,,,,,,,,,,,,,,,,,,
95,Ke,Wang,Data-Driven Feedback Generator for Online Programing Courses,2017,WIP,Work in Progress,"Ke Wang, Benjamin Lin, Bjorn Rettig, Paul Pardi, Rishabh Singh",https://dl.acm.org/doi/pdf/10.1145/3051457.3053999,2017_Data-Driven Feedback Generator for Online Programing Courses.pdf,10.1145/3051457.3053999,3051457.3053999.pdf,57001542000; 57194044497; 57194043854; 57194043802; 55496964900,Data-driven feedback generator for online programing courses,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,257,260,3.0,13.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018436047&doi=10.1145%2f3051457.3053999&partnerID=40&md5=e3f1b63f633b11dea95a0e0c502ff8c9,Conference paper,Final,,Scopus,2-s2.0-85018436047,Ke,Wang,57001542000,Benjamin,Lin,57194044497,Bjorn,Rettig,57194043854,Paul,Pardi,57194043802,Rishabh,Singh,55496964900,,,,,,,,,,,,,,,,,,,,,,Visa Inc.,United States,Microsoft Corporation,United States,Microsoft Corporation,United States,Microsoft Corporation,United States,Google LLC,United States,,,,,,,,,,,,,,
96,Lisa,Wang,Deep Knowledge Tracing On Programming Exercises,2017,WIP,Work in Progress,"Lisa Wang, Angela Sy, Larry Liu, Chris Piech",https://dl.acm.org/doi/pdf/10.1145/3051457.3053985,2017_Deep Knowledge Tracing On Programming Exercises.pdf,10.1145/3051457.3053985,3051457.3053985.pdf,57194036986; 57194035240; 57194036370; 55142243300,Deep knowledge tracing on programming exercises,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,201,204,3.0,69.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018422818&doi=10.1145%2f3051457.3053985&partnerID=40&md5=0aca95a882db49611a9edabebdbab468,Conference paper,Final,,Scopus,2-s2.0-85018422818,Lisa,Wang,57194036986,Angela,Sy,57194035240,Larry,Liu,57194036370,Chris,Piech,55142243300,,,,,,,,,,,,,,,,,,,,,,,,,Stanford University,United States,Stanford University,United States,Stanford University,United States,Stanford University,United States,,,,,,,,,,,,,,,,
97,Yigal,Rosen,Designing Adaptive Assessments in MOOCs,2017,WIP,Work in Progress,"Yigal Rosen, Ilia Rushkin, Andrew M. Ang, Colin Fredericks, Dustin Tingley, Mary Jean Blink",https://dl.acm.org/doi/pdf/10.1145/3051457.3053993,2017_Designing Adaptive Assessments in MOOCs.pdf,10.1145/3051457.3053993,3051457.3053993.pdf,18042058000; 57194039160; 57194044580; 57194034487; 12446550300; 56335679200,Designing adaptive assessments in MOOCs,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,233,236,3.0,13.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018397462&doi=10.1145%2f3051457.3053993&partnerID=40&md5=3422c2e2026b65b48df2776cf4c07fa0,Conference paper,Final,,Scopus,2-s2.0-85018397462,Yigal,Rosen,18042058000,Ilia,Rushkin,57194039160,Andrew,Ang,57194044580,Colin,Federicks,57194034487,Dustin,Tingley,12446550300,Mary Jean,Blink,56335679200,,,,,,,,,,,,,,,,,,,BrainPOP,United States,BrainPOP,United States,Harvard University,United States,Harvard University,United States,Harvard University,United States,"TutorGen, Inc.",United States,,,,,,,,,,,,
98,Steven,Dang,Detecting Diligence with Online Behaviors on Intelligent Tutoring Systems,2017,Full Paper,Predicting and Explaining Learning,"Steven Dang, Michael Yudelson, Kenneth R. Koedinger",https://dl.acm.org/doi/pdf/10.1145/3051457.3051470,2017_Detecting Diligence with Online Behaviors on Intelligent Tutoring Systems.pdf,10.1145/3051457.3051470,3051457.3051470.pdf,57188817798; 55920072000; 6603678234,Detecting diligence with online behaviors on intelligent tutoring systems,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,51,59,8.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018410373&doi=10.1145%2f3051457.3051470&partnerID=40&md5=8a61e35628487100136e130dda078e20,Conference paper,Final,,Scopus,2-s2.0-85018410373,Steven,Dang,57188817798,Michael,Yudelson,55920072000,Kenneth R.,Koedinger,6603678234,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lexia Learning,United States,Carnegie Mellon University,United States,Carnegie Mellon University,United States,,,,,,,,,,,,,,,,,,
99,Binglin,Chen,Do Performance Trends Suggest Wide-spread Collaborative Cheating on Asynchronous Exams?  111-120,2017,Full Paper,Integrity of Courses and Learners,"Binglin Chen, Matthew West, Craig B. Zilles",https://dl.acm.org/doi/pdf/10.1145/3051457.3051465,2017_Do Performance Trends Suggest Wide-spread Collaborative Cheating on Asynchronous Exams?  111-120.pdf,10.1145/3051457.3051465,3051457.3051465.pdf,57194035737; 36867775200; 6602243123,Do performance trends suggest wide-spread collaborative cheating on asynchronous exams?,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,111,120,9.0,24.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018443387&doi=10.1145%2f3051457.3051465&partnerID=40&md5=95995c8db54482ba3b0690c2c26aef82,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85018443387,Binglin,Chen,57194035737,Matthew,West,36867775200,Craig,Zilles,6602243123,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Illinois Urbana-Champaign,United States,University of Illinois Urbana-Champaign,United States,University of Illinois Urbana-Champaign,United States,,,,,,,,,,,,,,,,,,
100,Zachary A.,Pardos,Enabling Real-Time Adaptivity in MOOCs with a Personalized Next-Step Recommendation Framework,2017,Full Paper,Engineering Learning Environments,"Zachary A. Pardos, Steven Tang, Daniel Davis, Christopher Vu Le",https://dl.acm.org/doi/pdf/10.1145/3051457.3051471,2017_Enabling Real-Time Adaptivity in MOOCs with a Personalized Next-Step Recommendation Framework.pdf,10.1145/3051457.3051471,3051457.3051471.pdf,23091281300; 56145020700; 57189390673; 57194042244,Enabling real-Time adaptivity in MOOCs with a personalized next-step recommendation framework,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,23,32,9.0,56.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018368390&doi=10.1145%2f3051457.3051471&partnerID=40&md5=6415f0efd63bab9171c68ae3dc40f8e8,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85018368390,Zachary A.,Pardos,23091281300,Steven,Tang,56145020700,Daniel,Davis,57189390673,Christopher,Vu Le,57194042244,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",United States,"University of California, Berkeley",United States,Delft University of Technology,Netherlands,"University of California, Berkeley",United States,,,,,,,,,,,,,,,,
101,Robert A.,Sottilare,Enhancing the Experience Application Program Interface (xAPI) to Improve Domain Competency Modeling for Adaptive Instruction,2017,WIP,Work in Progress,"Robert A. Sottilare, Rodney A. Long, Benjamin S. Goldberg",https://dl.acm.org/doi/pdf/10.1145/3051457.3054001,2017_Enhancing the Experience Application Program Interface (xAPI) to Improve Domain Competency Modeling for Adaptive Instruction.pdf,10.1145/3051457.3054001,3051457.3054001.pdf,6506196843; 55392489900; 56808124700,Enhancing the experience application program interface (xAPI) to improve domain competency modeling for adaptive instruction,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,265,268,3.0,11.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018377991&doi=10.1145%2f3051457.3054001&partnerID=40&md5=3e77ed0a6e42e3f5192ceef5ffefcaa5,Conference paper,Final,,Scopus,2-s2.0-85018377991,Robert A.,Sottilare,6506196843,Rodney A.,Long,55392489900,Benjamin S.,Goldberg,56808124700,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inc,United States,University of Pennsylvania,United States,US Army DEVCOM Soldier Center,United States,,,,,,,,,,,,,,,,,,
102,Petr,Johanes,Epistemic Cognition: A Promising and Necessary Construct for Enriching Large-scale Online Learning Analysis,2017,Full Paper,Predicting and Explaining Learning,Petr Johanes,https://dl.acm.org/doi/pdf/10.1145/3051457.3051462,2017_Epistemic Cognition: A Promising and Necessary Construct for Enriching Large-scale Online Learning Analysis.pdf,10.1145/3051457.3051462,3051457.3051462.pdf,55793825700,Epistemic cognition: A promising and necessaryconstruct for enrichinglarge-scale online learning analysis,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,61,69,8.0,7.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018394549&doi=10.1145%2f3051457.3051462&partnerID=40&md5=c02e95c9716f63422048dfa061c4990b,Conference paper,Final,,Scopus,2-s2.0-85018394549,Petr,Johanes,55793825700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanford University,United States,,,,,,,,,,,,,,,,,,,,,,
103,Xiwen,Lu,Experimenting Choices of Video and Text Feedback in Authentic Foreign Language Assignments at Scale,2017,WIP,Work in Progress,"Xiwen Lu, Xiaolu Xiong, Neil T. Heffernan",https://dl.acm.org/doi/pdf/10.1145/3051457.3054018,2017_Experimenting Choices of Video and Text Feedback in Authentic Foreign Language Assignments at Scale.pdf,10.1145/3051457.3054018,3051457.3054018.pdf,57194029790; 57199839343; 14041775100,Experimenting choices of video and text feedback in authentic foreign language assignments at scale,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,335,338,3.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018390383&doi=10.1145%2f3051457.3054018&partnerID=40&md5=248c07e2adc182b9ff593637e624d7ef,Conference paper,Final,,Scopus,2-s2.0-85018390383,Xiwen,Lu,57194029790,Xiaolu,Xiong,57199839343,Neil T.,Heffernan,14041775100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandeis University,United States,Worcester Polytechnic Institute,United States,Worcester Polytechnic Institute,United States,,,,,,,,,,,,,,,,,,
104,Sunbok,Lee,Factor Analysis Reveals Student Thinking using the Mechanics Reasoning Inventory,2017,WIP,Work in Progress,"Sunbok Lee, Zhongzhou Chen, David E. Pritchard, Alex Kimn, Andrew Paul",https://dl.acm.org/doi/pdf/10.1145/3051457.3053984,2017_Factor Analysis Reveals Student Thinking using the Mechanics Reasoning Inventory.pdf,10.1145/3051457.3053984,3051457.3053984.pdf,57192521363; 57194039586; 7409482654; 57194046826; 7201794914,Factor analysis reveals student thinking using the mechanics reasoning inventory,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,197,200,3.0,2.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018389198&doi=10.1145%2f3051457.3053984&partnerID=40&md5=92d8e5cd41ca811d48fd9805b3f221c0,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85018389198,Sunbok,Lee,57192521363,Alex,Kimn,57194039586,Zhengzhou,Chen,7409482654,Andrew,Paul,57194046826,David,Pritchard,7201794914,,,,,,,,,,,,,,,,,,,,,,Ewha Womans University,South Korea,Massachusetts Institute of Technology,United States,University of Central Florida,United States,University of Wisconsin Platteville,United States,Massachusetts Institute of Technology,United States,,,,,,,,,,,,,,
105,Nickolas J. G.,Falkner,Formal Forum Triage: Towards the Strategic Selection of Responses to Student Discussion Forums,2017,WIP,Work in Progress,"Nickolas J. G. Falkner, Claudia Szabo, Katrina Falkner",https://dl.acm.org/doi/pdf/10.1145/3051457.3053977,2017_Formal Forum Triage: Towards the Strategic Selection of Responses to Student Discussion Forums.pdf,10.1145/3051457.3053977,3051457.3053977.pdf,14631557200; 24723328900; 7004182688,Formal forum triage: Towards the strategic selection of responses to student discussion forums,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,173,176,3.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018456221&doi=10.1145%2f3051457.3053977&partnerID=40&md5=ce031f69078aefc5105b33daf84416e9,Conference paper,Final,,Scopus,2-s2.0-85018456221,Nickolas,Falkner,14631557200,Claudia,Szabo,24723328900,Katrina,Falkner,7004182688,,,,,,,,,,,,,,,,,,,,,,,,,,,,The University of Adelaide,Australia,The University of Adelaide,Australia,The University of Adelaide,Australia,,,,,,,,,,,,,,,,,,
106,Jill,Burstein,Generating Language Activities in Real-Time for English Learners using Language Muse,2017,WIP,Work in Progress,"Jill Burstein, Nitin Madnani, John Sabatini, Dan McCaffrey, Kietha Biggers, Kelsey Dreier",https://dl.acm.org/doi/pdf/10.1145/3051457.3053988,2017_Generating Language Activities in Real-Time for English Learners using Language Muse.pdf,10.1145/3051457.3053988,3051457.3053988.pdf,7003578768; 35213363500; 14063952500; 7005049755; 56601312700; 57194035968,Generating language activities in real-Time for english learners using language muse,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,213,215,2.0,5.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018416409&doi=10.1145%2f3051457.3053988&partnerID=40&md5=95684c04985ce5d8aa0ca2addc1add5b,Conference paper,Final,,Scopus,2-s2.0-85018416409,Jill,Burstein,7003578768,Nitin,Madnani,35213363500,John,Sabatini,14063952500,Dan,McCaffrey,7005049755,Kietha,Biggers,56601312700,Kelsey,Dreier,57194035968,,,,,,,,,,,,,,,,,,,Duolingo,United States,Educational Testing Service,United States,University of Memphis,United States,Educational Testing Service,United States,Educational Testing Service,United States,Educational Testing Service,United States,,,,,,,,,,,,
107,Selen,Türkay,"Getting to Know English Language Learners in MOOCs: Their Motivations, Behaviors, and Outcomes",2017,WIP,Work in Progress,"Selen Türkay, Hadas Eidelman, Yigal Rosen, Daniel T. Seaton, Glenn Lopez, Jacob Whitehill",https://dl.acm.org/doi/pdf/10.1145/3051457.3053987,"2017_Getting to Know English Language Learners in MOOCs: Their Motivations, Behaviors, and Outcomes.pdf",10.1145/3051457.3053987,3051457.3053987.pdf,36544543100; 15042760500; 57194028723; 57189381406; 18042058000; 24826006100,"Getting to know english language learners in MOOCs: Their motivations, behaviors and outcomes",L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,209,212,3.0,7.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018399726&doi=10.1145%2f3051457.3053987&partnerID=40&md5=198f0201beced6ebfe9b5c1c9489dfda,Conference paper,Final,,Scopus,2-s2.0-85018399726,Selen,Türkay,36544543100,Daniel,Seaton,15042760500,Hadas,Eidelman,57194028723,Glenn,Lopez,57189381406,Yigal,Rosen,18042058000,Jacob,Whitehill,24826006100,,,,,,,,,,,,,,,,,,,Queensland University of Technology,Australia,Massachusetts Institute of Technology,United States,Harvard University,United States,Harvard University,United States,BrainPOP,United States,Worcester Polytechnic Institute,United States,,,,,,,,,,,,
108,Glenn,Lopez,Google BigQuery for Education: Framework for Parsing and Analyzing edX MOOC Data,2017,WIP,Work in Progress,"Glenn Lopez, Daniel T. Seaton, Andrew M. Ang, Dustin Tingley, Isaac L. Chuang",https://dl.acm.org/doi/pdf/10.1145/3051457.3053980,2017_Google BigQuery for Education: Framework for Parsing and Analyzing edX MOOC Data.pdf,10.1145/3051457.3053980,3051457.3053980.pdf,57189381406; 15042760500; 57194044580; 12446550300; 7007024509,Google BigQuery for education: Framework for parsing and analyzing edX MOOC data,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,181,184,3.0,17.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018405542&doi=10.1145%2f3051457.3053980&partnerID=40&md5=a9d6e642567b44bce17eeee1476910cf,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85018405542,Glenn,Lopez,57189381406,Daniel T.,Seaton,15042760500,Andrew,Ang,57194044580,Dustin,Tingley,12446550300,Isaac,Chuang,7007024509,,,,,,,,,,,,,,,,,,,,,,Harvard University,United States,Massachusetts Institute of Technology,United States,Harvard University,United States,Harvard University,United States,Massachusetts Institute of Technology,United States,,,,,,,,,,,,,,
109,Arjun,Singh,"Gradescope: A Fast, Flexible, and Fair System for Scalable Assessment of Handwritten Work",2017,Full Paper,Feedback for Improving Learning,"Arjun Singh, Sergey Karayev, Kevin Gutowski, Pieter Abbeel",https://dl.acm.org/doi/pdf/10.1145/3051457.3051466,"2017_Gradescope: A Fast, Flexible, and Fair System for Scalable Assessment of Handwritten Work.pdf",10.1145/3051457.3051466,3051457.3051466.pdf,56733528800; 50561748500; 57194034007; 8269962600,"Gradescope: A fast, flexible, and fair system for scalable assessment of handwritten work",L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,81,88,7.0,51.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018456836&doi=10.1145%2f3051457.3051466&partnerID=40&md5=150b98cd89ca99c249e6ea894bf8bbed,Conference paper,Final,,Scopus,2-s2.0-85018456836,Arjun,Singh,56733528800,Sergey,Karayev,50561748500,Kevin,Gutowski,57194034007,Pieter,Abbeel,8269962600,,,,,,,,,,,,,,,,,,,,,,,,,Gradescope Inc.,United States,Turnitin,United States,Gradescope Inc.,United States,"University of California, Berkeley",United States,,,,,,,,,,,,,,,,
110,Yi,Cui,Humans and Machines Together: Improving Characterization of Large Scale Online Discussions through Dynamic Interrelated Post and Thread Categorization (DIPTiC),2017,WIP,Work in Progress,"Yi Cui, Wan Qi Jin, Alyssa Friend Wise",https://dl.acm.org/doi/pdf/10.1145/3051457.3053989,2017_Humans and Machines Together: Improving Characterization of Large Scale Online Discussions through Dynamic Interrelated Post and Thread Categorization (DIPTiC).pdf,10.1145/3051457.3053989,3051457.3053989.pdf,56597233100; 57190686838; 8301478000,Humans and machines together: Improving characterization of large scale online discussions through dynamic interrelated post and thread categorization (DIPTiC),L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,217,219,2.0,6.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018392940&doi=10.1145%2f3051457.3053989&partnerID=40&md5=9992ec07c07ff8ee139b24e4b588c670,Conference paper,Final,,Scopus,2-s2.0-85018392940,Yi,Cui,56597233100,Wan Qi,Jin,57190686838,Alyssa Friend,Wise,8301478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York University,United States,Simon Fraser University,Canada,NYU Steinhardt,United States,,,,,,,,,,,,,,,,,,
111,Dilrukshi,Gamage,Improving Assessment on MOOCs Through Peer Identification and Aligned Incentives,2017,WIP,Work in Progress,"Dilrukshi Gamage, Mark E. Whiting, Thejan Rajapakshe, Haritha Thilakarathne, Indika Perera, Shantha Fernando",https://dl.acm.org/doi/pdf/10.1145/3051457.3054013,2017_Improving Assessment on MOOCs Through Peer Identification and Aligned Incentives.pdf,10.1145/3051457.3054013,3051457.3054013.pdf,37035732200; 57191996823; 57188768950; 55349433500; 54783210900; 26430745000,Improving assessment on MOOCs through peer identification and aligned incentives,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,315,318,3.0,18.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018443955&doi=10.1145%2f3051457.3054013&partnerID=40&md5=352641d2773477751af34abe838be69e,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85018443955,Dilrukshi,Gamage,37035732200,Mark E.,Whiting,57191996823,Thejan,Rajapakshe,57188768950,Haritha,Thilakarathne,55349433500,Indika,Perera,54783210900,Shantha,Fernando,26430745000,,,,,,,,,,,,,,,,,,,Tokyo Institute of Technology,Japan,School of Engineering and Applied Science,United States,University of Southern Queensland,Australia,Stanford University,United States,University of Moratuwa,Sri Lanka,University of Moratuwa,Sri Lanka,,,,,,,,,,,,
112,Qian,Zhao,In-Video Reuse of Discussion Threads in MOOCs,2017,WIP,Work in Progress,"Qian Zhao, Sashank Varma, Joseph A. Konstan",https://dl.acm.org/doi/pdf/10.1145/3051457.3053972,2017_In-Video Reuse of Discussion Threads in MOOCs.pdf,10.1145/3051457.3053972,3051457.3053972.pdf,57188817517; 14066713400; 7003985614,In-video reuse of discussion threads in MOOCs,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,153,156,3.0,5.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018444650&doi=10.1145%2f3051457.3053972&partnerID=40&md5=1e854a79cfadf5d3419133fdb2883d30,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85018444650,Qian,Zhao,57188817517,Sashank,Varma,14066713400,Joseph A.,Konstan,7003985614,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloomberg L.P.,United States,Georgia Institute of Technology,United States,University of Minnesota Twin Cities,United States,,,,,,,,,,,,,,,,,,
113,Liang,Zhang,Incorporating Rich Features into Deep Knowledge Tracing,2017,WIP,Work in Progress,"Liang Zhang, Xiaolu Xiong, Siyuan Zhao, Anthony Botelho, Neil T. Heffernan",https://dl.acm.org/doi/pdf/10.1145/3051457.3053976,2017_Incorporating Rich Features into Deep Knowledge Tracing.pdf,10.1145/3051457.3053976,3051457.3053976.pdf,57194046269; 57199839343; 57194028898; 56597707600; 14041775100,Incorporating rich features into deep knowledge tracing,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,169,172,3.0,83.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018371891&doi=10.1145%2f3051457.3053976&partnerID=40&md5=61b778451c2d1e41e6aa06394381e0b5,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85018371891,Liang,Zhang,57194046269,Xiaolu,Xiong,57199839343,Siyuan,Zhao,57194028898,Anthony,Botelho,56597707600,Neil T.,Heffernan,14041775100,,,,,,,,,,,,,,,,,,,,,,Worcester Polytechnic Institute,United States,Worcester Polytechnic Institute,United States,Worcester Polytechnic Institute,United States,University of Florida,United States,Worcester Polytechnic Institute,United States,,,,,,,,,,,,,,
114,Monika,Gupta,Intelligent Math Tutor: Problem-Based Approach to Create Cognizance,2017,WIP,Work in Progress,"Monika Gupta, Neelamadhav Gantayat, Renuka Sindhgatta",https://dl.acm.org/doi/pdf/10.1145/3051457.3053995,2017_Intelligent Math Tutor: Problem-Based Approach to Create Cognizance.pdf,10.1145/3051457.3053995,3051457.3053995.pdf,58510566300; 51161373600; 8853417600,Intelligent math tutor: Problem-based approach to create cognizance,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,241,244,3.0,5.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018448085&doi=10.1145%2f3051457.3053995&partnerID=40&md5=ccef561c72df5b78a8798f4f7be48701,Conference paper,Final,,Scopus,2-s2.0-85018448085,Monika,Gupta,58510566300,Neelamadhav,Gantayat,51161373600,Renuka,Sindhgatta,8853417600,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM Research,United States,IBM Research,United States,IBM Research,United States,,,,,,,,,,,,,,,,,,
115,Frans van der,Sluis,Learning about Learning at Scale: Methodological Challenges and Recommendations,2017,Full Paper,Experimentation,"Frans van der Sluis, Tim Van der Zee, Jasper Ginn",https://dl.acm.org/doi/pdf/10.1145/3051457.3051461,2017_Learning about Learning at Scale: Methodological Challenges and Recommendations.pdf,10.1145/3051457.3051461,3051457.3051461.pdf,35743909500; 57163561300; 57189383661,Learning about learning at scale: Methodological challenges and recommendations,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,131,140,9.0,16.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018367776&doi=10.1145%2f3051457.3051461&partnerID=40&md5=e9a2b75740d0315c0c6a9b73b85c4159,Conference paper,Final,,Scopus,2-s2.0-85018367776,Frans,Van Der Sluis,35743909500,Tim,Van Der Zee,57163561300,Jasper,Ginn,57189383661,,,,,,,,,,,,,,,,,,,,,,,,,,,,Københavns Universitet,Denmark,"Interfacultair Centrum voor Lerarenopleiding, Onderwijsontwikkeling en Nascholing",Netherlands,Leiden University,Netherlands,,,,,,,,,,,,,,,,,,
116,Sayamindu,Dasgupta,Learning to Code in Localized Programming Languages,2017,Full Paper,Learn to Code,"Sayamindu Dasgupta, Benjamin Mako Hill",https://dl.acm.org/doi/pdf/10.1145/3051457.3051464,2017_Learning to Code in Localized Programming Languages.pdf,10.1145/3051457.3051464,3051457.3051464.pdf,39061169700; 35772345700,Learning to code in localized programming languages,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,33,39,6.0,26.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018416272&doi=10.1145%2f3051457.3051464&partnerID=40&md5=b0e42e89532e1674b1859c7994c6afa3,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85018416272,Sayamindu,Dasgupta,39061169700,Benjamin Mako,Hill,35772345700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Washington,United States,University of Washington,United States,,,,,,,,,,,,,,,,,,,,
